idx,label,majors,minors,area,perimeter,circularity,AR,roundness,solidity,nucl_std_in,nucl_std_out,nucl_mean_in,nucl_mean_out
1.0,0,12.415023168613043,7.64787043348931,74.57236858133403,32.392764678367364,0.8930828906700325,1.6233307397898398,0.6160174112944246,1.011461318051576,588.4296918922804,427.92655100870746,3124.747875354108,1912.5239520958085
2.0,0,10.732910765780405,8.307672444735397,70.03042545244257,30.42987950399497,0.9503775385419404,1.2919275329134925,0.7740372230823569,0.9917726252804788,255.17340959829664,262.6193517682564,2050.6184012066365,1447.2106918238994
3.0,0,11.519083558716284,8.534592767454734,77.21303319115464,32.727475411057426,0.905890002797242,1.3496934033739036,0.7409090075570083,0.9831876260928044,476.6799621274992,517.6210399874159,3004.467852257182,1811.6764705882356
4.0,0,9.149263729127526,7.849436232460414,56.40459606576823,26.946558005397048,0.9761526997706144,1.1655950132178703,0.8579309182520348,1.0113636363636365,373.7072383225984,630.0808939048106,2511.6573033707864,1667.822695035461
5.0,0,10.234711859993984,7.647697815946086,61.4746721166238,28.58314273482326,0.945553548928618,1.3382735702048476,0.7472313750072277,0.9906382978723404,645.5272792546064,300.91430500957017,3679.1941580756015,2221.204081632653
6.0,0,10.749783299676045,8.269611456717291,69.81917228365693,30.2201474040166,0.9607079912113464,1.2999139507266868,0.7692816893310309,0.9969834087481146,628.278744062809,485.845712974912,3815.285930408472,1992.5477707006369
7.0,0,12.250624450628074,7.179643444065429,69.07978619290715,31.466530380654422,0.8767244768098781,1.706299838713332,0.586063467458374,1.001531393568147,378.0531068588402,243.1317161722424,3149.6681957186543,2269.293209876543
8.0,0,10.346521998005311,8.552928927867441,69.50229253047846,30.300660578503148,0.9512721907862302,1.2097051297005317,0.8266477304659814,1.0022848438690022,661.2310876650347,504.73271699594926,3258.352583586626,1605.0509554140128
9.0,0,10.505844813245815,9.536931130064078,78.69180537265419,31.733163412442806,0.9820025981771208,1.101595961003362,0.9077738439501668,0.9946595460614152,487.8200756719848,634.3132657544643,3005.610738255033,1675.460606060606
10.0,0,5.28587232299941,4.376179558087593,18.1677725155658,15.404127333301313,0.9621379554146112,1.2078737293195887,0.8279011089704826,0.9913544668587896,1609.2901511417,328.7520532442577,4725.872093023256,2638.3314285714287
11.0,0,9.621013881824105,7.744123645948675,58.51712775362472,27.755106703620683,0.9545684201046244,1.242363154526506,0.8049176252181462,0.9919427036705462,585.9515992828003,422.06591387136456,3939.1750902527074,2609.841379310345
12.0,0,8.872066230350768,7.609608207118208,53.024545365197845,26.354474822278693,0.959352220415676,1.1659031567553804,0.8577041705444246,1.002997002997003,613.9732853890389,428.0422282366145,3173.462151394422,1749.9087591240875
13.0,0,9.962706942686326,9.341402686897355,73.09359639983448,30.59393981709994,0.9813374636130116,1.066510809630382,0.9376370037417318,0.9899856938483548,286.8363950452681,313.4675665397226,2172.6127167630057,1345.009375
14.0,0,9.65457953073346,9.207706130468404,69.81917228365693,29.874500017903053,0.9830673415310924,1.048532543712092,0.9537138413078972,1.0,605.8299752940899,505.27368800602505,3713.683812405446,2188.6612903225805
15.0,0,10.26065593743007,8.925968337230238,71.93170397151341,30.336533121244205,0.982196351771723,1.1495286057236889,0.8699218053564202,1.007396449704142,336.3928817028186,195.4726616844044,1727.555066079295,953.8980891719746
16.0,0,11.772168800568505,8.533898556624772,78.90305854143983,32.28673708747995,0.9511639631649909,1.3794596599030229,0.7249215247586879,0.997995991983968,252.1855413694205,187.58450396157545,1811.342704149933,1369.5119047619048
17.0,0,9.441137301244032,8.375994192292808,62.10843162298075,28.32503395547908,0.972791009424323,1.1271661709043828,0.887180635662308,0.9940828402366864,621.507371939707,497.96152407540194,4029.171768707483,2417.816326530612
18.0,0,9.605690716882684,8.722536642206054,65.80536207672961,29.023424109992423,0.9816888332561138,1.101249683538534,0.908059284781632,0.9991980753809142,590.6086187517825,727.4000512950907,3778.104333868379,2016.3344370860927
19.0,0,9.99843461489582,8.743085004079244,68.65727985533586,29.600265675957424,0.9847029498516284,1.1435819976851271,0.8744453847859006,1.003861003861004,438.0470348204015,174.76270810928585,2280.34,1258.6363636363635
20.0,0,9.422817328634268,7.935556254651585,58.728380922410366,27.69102330516929,0.962453778259017,1.1874173688972205,0.8421638643611226,0.9946332737030412,449.37840236546896,400.8282450581443,2705.327338129496,1542.263888888889
21.0,0,9.335455817320758,8.528438732797275,62.530937960552045,28.447000350856317,0.9710282185564733,1.0946265910804975,0.9135535425033916,1.0154373927958833,597.2616019943875,363.48206700799466,3688.010135135135,1904.1711409395973
22.0,0,8.37608834108746,8.012031563552968,52.707665612019376,25.98525881337443,0.980910882016826,1.0454387597760595,0.9565361821999088,1.0060483870967742,794.3438769446632,266.7230928443534,3250.9559118236475,1152.8125
23.0,0,9.812959311893987,7.400773566142303,57.03835557212518,27.390661943297584,0.9553704505750956,1.3259369745869758,0.7541836596807296,1.000926784059314,483.5316162350219,442.5491606228722,3023.714814814815,1783.6971830985915
24.0,0,9.808974217985115,8.624032955652899,66.43912158308655,29.33377962088861,0.9702813774886988,1.1373998996090928,0.8791982488689201,0.9858934169278996,181.07984428918985,305.46313065822267,2028.322734499205,1544.6905537459284
25.0,0,12.049670996743671,8.248075056039221,78.05804586629723,32.5156354567484,0.9277758145014976,1.460907049811693,0.6845062457114552,0.9952861952861952,445.9764028405555,283.11291825827954,2595.304465493911,1691.529761904762
